metric,grp_val,CI_quantile_95,values,exp_name,eval_group
AUROC,<65,lower,0.9230769230769231,Baseline,Age
AUROC,<65,mid,0.9277435897435897,Baseline,Age
AUROC,<65,upper,0.9384615384615385,Baseline,Age
BCE,<65,lower,0.6369937308550497,Baseline,Age
BCE,<65,mid,0.7006781374071928,Baseline,Age
BCE,<65,upper,0.7604900434848918,Baseline,Age
ECE,<65,lower,0.1585069281098656,Baseline,Age
ECE,<65,mid,0.18416041807390598,Baseline,Age
ECE,<65,upper,0.21569534582368816,Baseline,Age
BACC,<65,lower,0.8923076923076924,Baseline,Age
BACC,<65,mid,0.9071538461538461,Baseline,Age
BACC,<65,upper,0.9230769230769231,Baseline,Age
FPR,<65,lower,0.0,Baseline,Age
FPR,<65,mid,0.0,Baseline,Age
FPR,<65,upper,0.0,Baseline,Age
FNR,<65,lower,0.15384615384615385,Baseline,Age
FNR,<65,mid,0.18569230769230768,Baseline,Age
FNR,<65,upper,0.21538461538461542,Baseline,Age
AUROC,65-74,lower,0.9399107142857143,Baseline,Age
AUROC,65-74,mid,0.9462328571428571,Baseline,Age
AUROC,65-74,upper,0.9539321428571429,Baseline,Age
BCE,65-74,lower,0.2820532755834387,Baseline,Age
BCE,65-74,mid,0.29642536008399556,Baseline,Age
BCE,65-74,upper,0.31024186080313015,Baseline,Age
ECE,65-74,lower,0.145028087055626,Baseline,Age
ECE,65-74,mid,0.16342518612954834,Baseline,Age
ECE,65-74,upper,0.18296477309705364,Baseline,Age
BACC,65-74,lower,0.8265714285714285,Baseline,Age
BACC,65-74,mid,0.8427714285714285,Baseline,Age
BACC,65-74,upper,0.8599964285714284,Baseline,Age
FPR,65-74,lower,0.04,Baseline,Age
FPR,65-74,mid,0.0636,Baseline,Age
FPR,65-74,upper,0.096,Baseline,Age
FNR,65-74,lower,0.22857142857142856,Baseline,Age
FNR,65-74,mid,0.25085714285714283,Baseline,Age
FNR,65-74,upper,0.2857142857142857,Baseline,Age
AUROC,75-84,lower,0.8585496894409937,Baseline,Age
AUROC,75-84,mid,0.8789962732919254,Baseline,Age
